Year,LocationAbbr,LocationDesc,Topic,Question,Low_Confidence_Limit,Data_Value,High_Confidence_Limit,Sample_Size
2011,AK,Alaska,Obesity,% of adults aged >= 18 years with obesity,25.3,27.4,29.7,"3,336"
2011,AK,Alaska,Obesity,% of adults aged >= 18 years with an overweight classification,36.5,38.9,41.3,"3,336"
2011,AK,Alaska,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,31.5,33.8,36.3,"3,294"
2011,AK,Alaska,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),35.3,37.7,40.1,"3,186"
2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),55.4,57.9,60.4,"3,212"
2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.8,25.0,27.3,"3,166"
2011,AK,Alaska,Physical Activity,% of adults with no leisure-time physical activity,20.2,22.0,24.0,"3,349"
2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304"
2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304"
2011,AL,Alabama,Physical Activity,% of adults with no leisure-time physical activity,31.1,32.6,34.1,"7,470"
2011,AL,Alabama,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),22.5,23.9,25.4,"7,152"
2011,AL,Alabama,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,13.8,15.0,16.3,"7,145"
2011,AL,Alabama,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,23.3,24.7,26.2,"7,415"
2011,AL,Alabama,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),40.7,42.4,44.0,"7,191"
