,Year,LocationAbbr,LocationDesc,Topic,Question,Low_Confidence_Limit,Data_Value,High_Confidence_Limit,Sample_Size,NumPolicies
0,2011,AK,Alaska,Obesity,% of adults aged >= 18 years with obesity,25.3,27.4,29.7,"3,336",1.0
1,2011,AK,Alaska,Obesity,% of adults aged >= 18 years with an overweight classification,36.5,38.9,41.3,"3,336",1.0
2,2011,AK,Alaska,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,31.5,33.8,36.3,"3,294",6.0
3,2011,AK,Alaska,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,31.5,33.8,36.3,"3,294",6.0
4,2011,AK,Alaska,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,31.5,33.8,36.3,"3,294",6.0
5,2011,AK,Alaska,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,31.5,33.8,36.3,"3,294",6.0
6,2011,AK,Alaska,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,31.5,33.8,36.3,"3,294",6.0
7,2011,AK,Alaska,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,31.5,33.8,36.3,"3,294",6.0
8,2011,AK,Alaska,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),35.3,37.7,40.1,"3,186",6.0
9,2011,AK,Alaska,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),35.3,37.7,40.1,"3,186",6.0
10,2011,AK,Alaska,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),35.3,37.7,40.1,"3,186",6.0
11,2011,AK,Alaska,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),35.3,37.7,40.1,"3,186",6.0
12,2011,AK,Alaska,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),35.3,37.7,40.1,"3,186",6.0
13,2011,AK,Alaska,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),35.3,37.7,40.1,"3,186",6.0
14,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),55.4,57.9,60.4,"3,212",6.0
15,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),55.4,57.9,60.4,"3,212",6.0
16,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),55.4,57.9,60.4,"3,212",6.0
17,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),55.4,57.9,60.4,"3,212",6.0
18,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),55.4,57.9,60.4,"3,212",6.0
19,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic activity (or an = mix),55.4,57.9,60.4,"3,212",6.0
20,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.8,25.0,27.3,"3,166",6.0
21,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.8,25.0,27.3,"3,166",6.0
22,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.8,25.0,27.3,"3,166",6.0
23,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.8,25.0,27.3,"3,166",6.0
24,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.8,25.0,27.3,"3,166",6.0
25,2011,AK,Alaska,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,22.8,25.0,27.3,"3,166",6.0
26,2011,AK,Alaska,Physical Activity,% of adults with no leisure-time physical activity,20.2,22.0,24.0,"3,349",6.0
27,2011,AK,Alaska,Physical Activity,% of adults with no leisure-time physical activity,20.2,22.0,24.0,"3,349",6.0
28,2011,AK,Alaska,Physical Activity,% of adults with no leisure-time physical activity,20.2,22.0,24.0,"3,349",6.0
29,2011,AK,Alaska,Physical Activity,% of adults with no leisure-time physical activity,20.2,22.0,24.0,"3,349",6.0
30,2011,AK,Alaska,Physical Activity,% of adults with no leisure-time physical activity,20.2,22.0,24.0,"3,349",6.0
31,2011,AK,Alaska,Physical Activity,% of adults with no leisure-time physical activity,20.2,22.0,24.0,"3,349",6.0
32,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304",10.0
33,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304",10.0
34,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304",10.0
35,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304",10.0
36,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304",10.0
37,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304",10.0
38,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304",10.0
39,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304",10.0
40,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304",10.0
41,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with obesity,30.5,32.0,33.5,"7,304",10.0
42,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304",10.0
43,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304",10.0
44,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304",10.0
45,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304",10.0
46,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304",10.0
47,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304",10.0
48,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304",10.0
49,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304",10.0
50,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304",10.0
51,2011,AL,Alabama,Obesity,% of adults aged >= 18 years with an overweight classification,33.1,34.7,36.3,"7,304",10.0
52,2011,AL,Alabama,Physical Activity,% of adults with no leisure-time physical activity,31.1,32.6,34.1,"7,470",7.0
53,2011,AL,Alabama,Physical Activity,% of adults with no leisure-time physical activity,31.1,32.6,34.1,"7,470",7.0
54,2011,AL,Alabama,Physical Activity,% of adults with no leisure-time physical activity,31.1,32.6,34.1,"7,470",7.0
55,2011,AL,Alabama,Physical Activity,% of adults with no leisure-time physical activity,31.1,32.6,34.1,"7,470",7.0
56,2011,AL,Alabama,Physical Activity,% of adults with no leisure-time physical activity,31.1,32.6,34.1,"7,470",7.0
57,2011,AL,Alabama,Physical Activity,% of adults with no leisure-time physical activity,31.1,32.6,34.1,"7,470",7.0
58,2011,AL,Alabama,Physical Activity,% of adults with no leisure-time physical activity,31.1,32.6,34.1,"7,470",7.0
59,2011,AL,Alabama,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),22.5,23.9,25.4,"7,152",7.0
60,2011,AL,Alabama,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),22.5,23.9,25.4,"7,152",7.0
61,2011,AL,Alabama,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),22.5,23.9,25.4,"7,152",7.0
62,2011,AL,Alabama,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),22.5,23.9,25.4,"7,152",7.0
63,2011,AL,Alabama,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),22.5,23.9,25.4,"7,152",7.0
64,2011,AL,Alabama,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),22.5,23.9,25.4,"7,152",7.0
65,2011,AL,Alabama,Physical Activity,% of adults with >= 300 min/wk of moderate aerobic or 150 min/wk of vigorous aerobic activity (or an = mix),22.5,23.9,25.4,"7,152",7.0
66,2011,AL,Alabama,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,13.8,15.0,16.3,"7,145",7.0
67,2011,AL,Alabama,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,13.8,15.0,16.3,"7,145",7.0
68,2011,AL,Alabama,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,13.8,15.0,16.3,"7,145",7.0
69,2011,AL,Alabama,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,13.8,15.0,16.3,"7,145",7.0
70,2011,AL,Alabama,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,13.8,15.0,16.3,"7,145",7.0
71,2011,AL,Alabama,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,13.8,15.0,16.3,"7,145",7.0
72,2011,AL,Alabama,Physical Activity,% of adults with >= 150 min/wk of moderate aerobic or 75 min/wk of vigorous aerobic physical activity & muscle-strengthening activities on >= 2 days/wk,13.8,15.0,16.3,"7,145",7.0
73,2011,AL,Alabama,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,23.3,24.7,26.2,"7,415",7.0
74,2011,AL,Alabama,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,23.3,24.7,26.2,"7,415",7.0
75,2011,AL,Alabama,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,23.3,24.7,26.2,"7,415",7.0
76,2011,AL,Alabama,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,23.3,24.7,26.2,"7,415",7.0
77,2011,AL,Alabama,Physical Activity,% of adults with muscle-strengthening activities >= 2 days/wk,23.3,24.7,26.2,"7,415",7.0
