,Year,LocationAbbr,HealthTopic,PolicyTopic,Setting,NumPolicies
0,2001,AL,Nutrition,Access to Healthy Foods,Community,8
1,2001,AL,Nutrition,Food Security,Community,8
2,2001,AL,Nutrition,Farm Direct Foods,Community,8
3,2001,AL,Nutrition,Farmers Markets,Community,8
4,2001,AL,Nutrition,Appropriations,Community,8
5,2001,AL,Nutrition,Disparities/Equity,Community,8
6,2001,AL,Nutrition,Food Assistance Programs,Community,8
7,2001,AL,Nutrition,Agriculture and Farming,Community,8
8,2001,AR,Nutrition,Appropriations,Community,7
9,2001,AR,Nutrition,Appropriations,Community,7
10,2001,AR,Nutrition,Agriculture and Farming,Community,7
11,2001,AR,Nutrition,Correctional Facilities Farms Programs,Community,7
12,2001,AR,Nutrition,Appropriations,Community,7
13,2001,AR,Nutrition,Food Assistance Programs,Community,7
14,2001,AR,Nutrition,Correctional Facilities Farms Programs,Community,7
15,2001,AR,Obesity,Appropriations,Community,1
16,2001,AZ,Nutrition,Appropriations,School/After School,4
17,2001,AZ,Nutrition,Liability and Indemnity,School/After School,4
18,2001,AZ,Nutrition,School Nutrition,School/After School,4
19,2001,AZ,Nutrition,Task Forces/Councils,School/After School,4
20,2001,AZ,Obesity,Appropriations,School/After School,2
21,2001,AZ,Obesity,Disparities/Equity,School/After School,2
22,2001,AZ,Physical Activity,Appropriations,School/After School,2
23,2001,AZ,Physical Activity,Physical Activity Requirements,School/After School,2
24,2001,CA,Nutrition,Medical Care,Community,11
25,2001,CA,Nutrition,Appropriations,School/After School,11
26,2001,CA,Nutrition,School Nutrition,School/After School,11
27,2001,CA,Nutrition,School Nutrition,School/After School,11
28,2001,CA,Nutrition,School Nutrition,School/After School,11
29,2001,CA,Nutrition,School Nutrition,School/After School,11
30,2001,CA,Nutrition,Appropriations,School/After School,11
31,2001,CA,Nutrition,Incentives,School/After School,11
32,2001,CA,Nutrition,Appropriations,School/After School,11
33,2001,CA,Nutrition,Medical Care,Community,11
34,2001,CA,Nutrition,Appropriations,School/After School,11
35,2001,CA,Obesity,Appropriations,School/After School,9
36,2001,CA,Obesity,Initiatives and Programs,Community,9
37,2001,CA,Obesity,Initiatives and Programs,School/After School,9
